优先级,助手分层,是否需审核,桶,子类,API（助手显示名优先）,id,命名空间/类,方法,子方法,调用形态,文档availability(api.sqlite),助手availability,GP实测,UI实测,本次判定,运行时真名,运行时近似名,其它UI状态命中,助手标记未被官方lua使用,助手用法摘要,助手备注首条,助手人工验证,证据,建议动作
P1,L1 助手已收录,是,A availability 标错,GP 专属被标 Both,City:TypeName(),Q-CityTypeName,City,TypeName,,Dot (Global),Both,Both,string/是,ERR/否,文档偏宽：UI 未见,,,,是,未在 lua 文件中找到此函数的使用,查询 TypeName，返回 string,,UI=ERR　GP=string,availability 改为 GamePlay
P1,L1 助手已收录,是,A availability 标错,GP 专属被标 Both,GameSummary.AdjustDataSetValue(),Q-GameSummaryAdjustDataSetValue,GameSummary,AdjustDataSetValue,,Dot (Global),Both,Both,function/是,nil/否,文档偏宽：UI 未见,,,,是,未在 lua 文件中找到此函数的使用,查询 AdjustDataSetValue,,UI=nil　GP=function,availability 改为 GamePlay
P1,L1 助手已收录,是,A availability 标错,GP 专属被标 Both,GameSummary.CreateObject(),A-GameSummaryCreateObject,GameSummary,CreateObject,,Dot (Global),Both,Both,function/是,nil/否,文档偏宽：UI 未见,,,,是,未在 lua 文件中找到此函数的使用,创建Object,,UI=nil　GP=function,availability 改为 GamePlay
P1,L1 助手已收录,是,A availability 标错,GP 专属被标 Both,GameSummary.FindDataPoint(),Q-GameSummaryFindDataPoint,GameSummary,FindDataPoint,,Dot (Global),Both,Both,function/是,nil/否,文档偏宽：UI 未见,,,,是,未在 lua 文件中找到此函数的使用,查找DataPoint,,UI=nil　GP=function,availability 改为 GamePlay
P1,L1 助手已收录,是,A availability 标错,GP 专属被标 Both,GameSummary.FindDataSet(),Q-GameSummaryFindDataSet,GameSummary,FindDataSet,,Dot (Global),Both,Both,function/是,nil/否,文档偏宽：UI 未见,,,,是,未在 lua 文件中找到此函数的使用,查找DataSet,,UI=nil　GP=function,availability 改为 GamePlay
P1,L1 助手已收录,是,A availability 标错,GP 专属被标 Both,GameSummary.GetCityObject(),Q-GameSummaryGetCityObject,GameSummary,GetCityObject,,Dot (Global),Both,Both,function/是,nil/否,文档偏宽：UI 未见,,,,,,[作用] 获取城市在 GameSummary 系统中的摘要对象 ID,,UI=nil　GP=function,availability 改为 GamePlay
P1,L1 助手已收录,是,A availability 标错,GP 专属被标 Both,GameSummary.GetDataPoints(),Q-GameSummaryGetDataPoints,GameSummary,GetDataPoints,,Dot (Global),Both,Both,function/是,nil/否,文档偏宽：UI 未见,,,,是,未在 lua 文件中找到此函数的使用,获取DataPoints,,UI=nil　GP=function,availability 改为 GamePlay
P1,L1 助手已收录,是,A availability 标错,GP 专属被标 Both,GameSummary.GetDataSets(),Q-GameSummaryGetDataSets,GameSummary,GetDataSets,,Dot (Global),Both,Both,function/是,nil/否,文档偏宽：UI 未见,,,,是,未在 lua 文件中找到此函数的使用,获取DataSets,,UI=nil　GP=function,availability 改为 GamePlay
P1,L1 助手已收录,是,A availability 标错,GP 专属被标 Both,GameSummary.GetLastDataSetValue(),Q-GameSummaryGetLastDataSetValue,GameSummary,GetLastDataSetValue,,Dot (Global),Both,Both,function/是,nil/否,文档偏宽：UI 未见,,,,是,未在 lua 文件中找到此函数的使用,获取LastDataSetValue,,UI=nil　GP=function,availability 改为 GamePlay
P1,L1 助手已收录,是,A availability 标错,GP 专属被标 Both,GameSummary.GetObjects(),Q-GameSummaryGetObjects,GameSummary,GetObjects,,Dot (Global),Both,Both,function/是,nil/否,文档偏宽：UI 未见,,,,是,未在 lua 文件中找到此函数的使用,获取Objects,,UI=nil　GP=function,availability 改为 GamePlay
P1,L1 助手已收录,是,A availability 标错,GP 专属被标 Both,GameSummary.GetOrCreateDataPoint(),Q-GameSummaryGetOrCreateDataPoint,GameSummary,GetOrCreateDataPoint,,Dot (Global),Both,Both,function/是,nil/否,文档偏宽：UI 未见,,,,是,未在 lua 文件中找到此函数的使用,获取OrCreateDataPoint,,UI=nil　GP=function,availability 改为 GamePlay
P1,L1 助手已收录,是,A availability 标错,GP 专属被标 Both,GameSummary.GetOrCreateDataSet(),Q-GameSummaryGetOrCreateDataSet,GameSummary,GetOrCreateDataSet,,Dot (Global),Both,Both,function/是,nil/否,文档偏宽：UI 未见,,,,,,[作用] 创建或获取一个与特定游戏对象关联、按回合记录数据的统计数据集,,UI=nil　GP=function,availability 改为 GamePlay
